Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Master your brain: Neuroscience for personal development,www.udemy.com/course/my-brain-and-i/,Gregory Caremans - Brain Academy,199.99,13.19,"4.6(4,097 ratings)",Personal Development,Personal Transformation,Neuroscience,"41,651",English,"Discover how this approach can help with stress, self confidence, motivation, change, communication, relations, ...",10/2019,12/31/19
Neuroscience for parents: How to raise amazing kids,www.udemy.com/course/neuroscience-and-parenting/,Gregory Caremans - Brain Academy,99.99,11.39,"4.5(3,367 ratings)",Personal Development,Parenting & Relationships,Neuroscience,"31,794",English,"Parenting to help your children develop a healthy brain, self esteem and trust. nurture their talents and bond with them",10/2019,12/31/19
Master Neuroscience and Neuroanatomy.,www.udemy.com/course/neuroanatomy/,Dr. Najeeb Lectures,29.99,11.39,4.7(113 ratings),Teaching & Academics,Science,Neuroscience,"3,387",English,Learn Neuroscience with the World's Most Popular Medical Teacher. Crystal clear concepts with hand-drawn illustrations.,7/2019,12/31/19
The Neuroscience of Attachment,www.udemy.com/course/the-neuroscience-of-attachment/,Robert Rhoton,64.99,11.39,3.6(37 ratings),Health & Fitness,Mental Health,Neuroscience,339,English,"The brain, love and connectedness",6/2019,12/31/19
Control Your Brain Chemistry – Become Confident and Creative,www.udemy.com/course/control-your-brain-chemistry/,Global Harmony Crew,199.99,11.39,4.5(263 ratings),Personal Development,Personal Transformation,Confidence,"4,369",English,"Increase your levels of dopamine, serotonin, endorphins, and GABA.",4/2017,12/31/19
The Neuroscience of Self-Compassion by Kelly McGonigal,www.udemy.com/course/kelly-mcgonigal/,Sounds True,99.99,25.00,4.7(594 ratings),Personal Development,Personal Transformation,"Neuroscience
 ","3,222",English,"Discover how the brain works, including why the critical inner voice exists, and how to replace it with self-compassion.",7/2016,12/31/19
"Learning Strategies for Exam: Brain Training, Improve Memory",www.udemy.com/course/neuroscience-for-exams-learning-strategies/,"Ina Ilie┃ Neuroscience, Neuroplasticity, Brain Training Coach",199.99,11.39,4.5(45 ratings),Personal Development,Memory & Study Skills,Brain Training,"4,522",English,"Learning Strategies: Mind Mapping, Improve Memory, Brain Training, Study Skills, Note Taking ,Pass Exam, Neuroscience",10/2019,12/31/19
Neuroplasticity: Everything you need to know!,www.udemy.com/course/neuroplasticity-rewire-your-brain-creativity-focus-and-iq/,Amine Benyakoub,19.99,11.39,4.6(32 ratings),Personal Development,Memory & Study Skills,Neuroscience,690,English,"Reprogram your brain for clearer thinking, genius insights and laser sharp concentration, memory, habits and much more",11/2018,12/31/19
Neuroscience Synthesis To Rewire Your Brain ®,www.udemy.com/course/neuroscience-synthesis-to-rewire-your-brain/,The Best-Selling Author | Noah Merriby ​,199.99,11.39,4.5(39 ratings),Personal Development,Personal Transformation,Neuroscience,"3,375",English,"The Ability To Change Your Neural Structural & Rewire Behavior, Thoughts & Habits Via Neuroplasticity and Neuroscience",6/2019,12/31/19
Practical Neuroscience: 30+ Exercises for a Better Brain,www.udemy.com/course/practical-neuroscience-exercises-for-a-better-brain/,"Ina Ilie┃ Neuroscience, Neuroplasticity, Brain Training Coach",199.99,11.39,4.7(22 ratings),Personal Development,Personal Transformation,Neuroscience,"3,213",English,Neuroscience exercises for a better brain,11/2019,12/31/19
Learn Neuroscience: How Your Brain Works in Six Lectures,www.udemy.com/course/learn-neuroscience/,"André Klapper, PhD",99.99,11.39,4.1(51 ratings),Personal Development,Other,Neuroscience,"1,994",English,"Learn about the role of our brain in our personality, abilities, imagination, and consciousness. Beginners Neuroscience.",11/2019,12/31/19
"Negotiation - Newgotiation ""The Neuroscience of Negotiation""",www.udemy.com/course/neogotiation/,Yann Duzert,199.99,11.39,4.6(5 ratings),Personal Development,Career Development,Negotiation,98,English,Learn to change your life and significantly improve your ability to deliver more meaningful and lucrative offers.,2/2017,12/31/19
That Stranger In The Mirror: Neuroscience For Everyone,www.udemy.com/course/neuroscience-for-everyone/,Loony Corn,99.99,11.39,4.6(53 ratings),Personal Development,Personal Transformation,Neuroscience,"2,670",English,"Knowing Yourself, Knowing Others, Knowing Stuff",10/2016,12/31/19
Sounds True Presents: The Neuroscience Training Summit,www.udemy.com/course/the-neuroscience-training-summit/,Sounds True,99.99,25.00,4.5(71 ratings),Health & Fitness,Mental Health,Neuroscience,677,English,A Practical Approach to Improving Your Life Through Neuroscience,9/2016,12/31/19
"Sounds True Presents: The Enlightened Brain, Part 2",www.udemy.com/course/the-enlightened-brain-by-dr-rick-hanson-part-2/,Sounds True,179.99,45.00,5.0(3 ratings),Personal Development,Personal Transformation,Neuroscience,69,English,Dr. Rick Hanson on the Neuroscience of Spiritual Awakening,3/2016,12/31/19
Know your Brain: A Neurological insight into the brain,www.udemy.com/course/know-your-brain/,BrighterMinds OLC,0.0,19.99,4.7(11 ratings),Teaching & Academics,Science,Neuroscience,44,English,An introduction to Brain along with a peek into the Science behind Learning and Cognitive Reserve,12/2017,12/31/19
Introduction to Interpersonal Neurobiology for Everyday Life,www.udemy.com/course/an-introduction-to-interpersonal-neurobiology-for-everyday-life/,Sounds True,159.99,40.00,5.0(2 ratings),Personal Development,Personal Transformation,Neuroscience,8,English,With Dr. Daniel J. Siegel,6/2019,12/31/19
Neuroscience For Beginners,www.udemy.com/course/neuroscience-for-beginners/,MJ Politis,19.99,11.99,3.8(6 ratings),Teaching & Academics,Science,Neuroscience,51,English,Specifically designed to be accessible to students of all experience levels.,3/2018,12/31/19
Neuroscience Made Easy,www.udemy.com/course/neuroscience-made-easy/,Dr Asif Kamal,199.99,11.99,2.9(2 ratings),Teaching & Academics,Science,Neuroscience,10,English,"An easy and simple approach to Neuroscience, Neuroanatomy,Neurophysiology, Neurobiology and Neuropsychology.",12/2019,12/31/19
Multiple Sclerosis Matters: Neurology for Non-Neurologists,www.udemy.com/course/multiple-sclerosis-matters-neurology-for-non-neurologists/,Stephen Martino MD,29.99,11.99,0.0(0 ratings),Health & Fitness,General Health,Neuroscience,10,English,"Understand Multiple Sclerosis Causes, Symptoms, Diagnosis, and Current Neuroscience Treatments",8/2019,12/31/19
Understanding Brain Injury,www.udemy.com/course/brain-injury-awareness/,CEADDAONLINE DebC,54.99,11.99,4.3(32 ratings),Personal Development,Career Development,Neuroscience,80,English,Gain A Greater Awareness For Living And Working With People You Care For,8/2017,12/31/19
Why Stroke Matters: Neurology for Non-Neurologists,www.udemy.com/course/neurology-for-non-neurologists-stroke/,Stephen Martino MD,29.99,11.99,4.4(8 ratings),Health & Fitness,General Health,Neuroscience,103,English,"Create a Practical Knowledge of Stroke Prevention, Stroke Types, Diagnosis, Nutition and Current Neuroscience Treatments",2/2019,12/31/19
Creating & Sustaining Mind Fitness,www.udemy.com/course/creating-and-sustaining-mind-fitness/,Paul Pitsaras LL.B B.Int.Bus.,19.99,11.99,5.0(2 ratings),Personal Development,Personal Transformation,Neuroscience,6,English,Learn about the most vital mind tools backed by neuroscience that will allow you to create & sustain 'mind fitness'.,7/2019,12/31/19
Spinal Cord Anatomy,www.udemy.com/course/spinal-cord-anatomy/,Abbas Ahmed,19.99,11.99,3.8(3 ratings),Teaching & Academics,Science,Neuroscience,57,English,Gross and micro- anatomy of the spinal cord,8/2018,12/31/19
Neuroscience for Leaders & Managers,www.udemy.com/course/neuroscience-for-leaders-managers/,Management Study Guide,24.99,11.99,3.2(2 ratings),Personal Development,Leadership,Neuroscience,7,English,Using Neuroscience for management can contribute to a better performance in several areas.,5/2019,12/31/19
Find Your Purpose And Create Meaningful Life And Business,www.udemy.com/course/find-your-purpose-and-create-meaningful-life-and-business/,Lana King,184.99,11.99,0.0(0 ratings),Personal Development,Motivation,Neuroscience,730,English,learn the key components of unlocking and unleashing your Purpose into the world.,8/2019,12/31/19
Living as A Whole Human Being,www.udemy.com/course/pushinperception/,Abhijit Naskar,94.99,11.99,0.0(0 ratings),Personal Development,Personal Transformation,Neuroscience,2,English,A Push in Perception with Abhijit Naskar,11/2018,12/31/19
How does the mind Work?,www.udemy.com/course/how-does-the-mind-work/,Ranses Valente,149.99,11.99,0.0(0 ratings),Personal Development,Personal Transformation,Neuroscience,3,English,Getting to know a little deeper or minds and How to effectively create changes,1/2018,12/31/19
Conscious Learning,www.udemy.com/course/conscious-learning/,Tsering Kalden,164.99,11.99,0.0(0 ratings),Development,Development Tools,Learning Strategies,523,English,This course will change the way how you learn. It is a lifelong skill that will be permanent. You will feel awakened.,5/2019,12/31/19
Increase Your Neuroplasticity to Rewire Your Brain,www.udemy.com/course/increase-your-neuroplasticity/,Erik Smith,34.99,11.99,3.8(7 ratings),Personal Development,Personal Transformation,Neuroscience,935,English,How To Improve Your Cognitive Abilities So You Can Increase Your Intelligence,2/2018,12/31/19
